pH,EC,W_Temp,A_Temp,Humid,CO2,Light_onoff,Water_cooler,Air_Cooler,Air_Vent,Dehumidifier,Humidifier,Acid_Dozer,Base_Dozer,Nutrient_Dozer,Binary,Decimal_Label
1.489248014,1.199783831,32.71151244,28.30226039,96.71604263,1318.298447,0,1,1,1,1,0,0,1,0,11110010,242
1.536382444,0.705699866,8.092133107,8.807856226,43.17095511,310.3563635,0,0,0,0,0,1,0,1,0,1010,10
13.36316723,0.973496977,23.73713229,14.1265667,57.86864071,1412.75021,1,1,0,1,0,1,1,0,0,10101100,172
10.37711477,0.293824278,31.70684815,12.05721738,82.77585222,1288.336719,1,1,0,1,1,0,1,0,1,10110101,181
7.813656883,1.08854924,3.887588698,12.75251259,69.17201702,1352.02375,0,0,0,1,0,0,1,0,0,100100,36
11.57734788,0.748654974,12.26465946,14.88960341,82.33448931,1165.359664,1,0,0,1,1,0,1,0,0,110100,52
5.89918376,0.375701173,21.84602184,34.65207319,55.31789023,76.70058995,0,0,1,0,0,1,1,0,1,1001101,77
11.72872587,0.479188834,32.83648669,28.01249814,30.69220337,1215.015557,1,1,1,1,0,1,1,0,1,11101101,237
10.04025719,0.511156217,31.34087233,5.189862663,95.14288884,238.2518866,1,1,0,0,1,0,1,0,1,10010101,149
11.09245944,1.761870463,2.440842838,29.93770348,97.25651737,1184.487275,1,0,1,1,1,0,1,0,0,1110100,116
2.494364541,0.716381572,2.216447233,13.46630108,9.819847207,1284.085411,1,0,0,1,0,1,0,1,0,101010,42
7.22449207,0.736897804,20.69772353,21.58432567,74.04964268,1194.282411,0,0,0,1,0,0,1,0,0,100100,36
13.95388776,0.533611331,27.1758553,34.59076733,9.860671244,384.4099658,0,1,1,0,0,1,1,0,1,11001101,205
0.986516808,1.737344104,22.19802511,21.25342993,22.38870575,33.46127351,0,1,0,0,0,1,0,1,0,10001010,138
11.59800876,0.313781034,4.067126664,33.30698676,1.799045699,885.2194942,1,0,1,0,0,1,1,0,1,1001101,77
13.36745844,1.350188035,1.065412401,27.14727685,49.0600214,290.0516795,1,0,1,0,0,1,1,0,0,1001100,76
4.302441334,1.270151457,31.93778624,24.69953485,70.98743656,473.3547022,0,1,1,0,0,0,0,1,0,11000010,194
0.586993147,0.117621037,1.542551004,34.23243647,97.98050737,193.3435879,0,0,1,0,1,0,0,1,1,1010011,83
1.08555299,0.025116824,17.2727388,11.3477601,79.18345047,1190.579939,1,0,0,1,0,0,0,1,1,100011,35
3.105184954,0.86318154,6.487649904,8.216138992,82.72660147,294.2797331,0,0,0,0,1,0,0,1,0,10010,18
3.750010067,0.646163217,13.18308754,10.90243662,40.01036769,367.3813083,1,0,0,0,0,1,0,1,0,1010,10
5.184881847,0.061287674,33.87256822,6.874266814,78.05394374,1416.968442,1,1,0,1,0,0,0,1,1,10100011,163
3.71217755,1.247908939,19.53461217,30.10094909,56.03012796,427.3406312,0,0,1,0,0,1,0,1,0,1001010,74
9.131743693,1.572464819,19.86990262,23.1180949,90.37887215,958.835427,0,0,0,0,1,0,1,0,0,10100,20
6.099245149,0.111360172,16.17838413,3.218256548,41.99322374,315.1445191,0,0,0,0,0,1,1,0,1,1101,13
8.179803287,0.979084051,0.177425553,2.33489437,73.40673272,1440.185539,1,0,0,1,0,0,1,0,0,100100,36
11.04178226,0.73591611,16.60117137,1.868954326,48.89569319,373.8633116,0,0,0,0,0,1,1,0,0,1100,12
4.796534758,0.05307949,14.16119348,0.330114084,73.25565593,549.4879085,0,0,0,0,0,0,0,1,1,11,3
2.303750837,1.11768836,17.62007352,8.085833786,29.37985221,1322.668294,1,0,0,1,0,1,0,1,0,101010,42
0.294938722,0.389961533,1.912914076,0.455927332,51.14023565,1208.313473,1,0,0,1,0,1,0,1,1,101011,43
12.70994928,0.976735805,14.84685064,14.20828189,30.25501231,885.18537,1,0,0,0,0,1,1,0,0,1100,12
6.211719983,0.016967138,1.082343724,23.63970062,16.17328407,861.5010068,1,0,0,0,0,1,1,0,1,1101,13
11.71338322,0.565476235,5.518690124,2.664393841,11.55504309,1126.754731,1,0,0,1,0,1,1,0,1,101101,45
7.710447087,1.970456246,2.684247214,26.17521745,39.7531894,457.4933342,0,0,1,0,0,1,1,0,0,1001100,76
6.028154738,0.446776418,8.676685007,3.212831774,92.9990709,1371.854719,1,0,0,1,1,0,1,0,1,110101,53
0.757755272,0.085358612,17.62214948,4.938912804,19.63183487,501.4601167,0,0,0,0,0,1,0,1,1,1011,11
2.187332305,1.321349832,22.36012957,22.46167136,26.49956388,966.3069542,1,1,0,0,0,1,0,1,0,10001010,138
1.888599559,0.803316453,4.659884683,25.78794935,38.29650532,1302.958259,0,0,1,1,0,1,0,1,0,1101010,106
7.880397228,0.752069924,10.35252565,13.40931324,71.29395149,1189.673522,0,0,0,1,0,0,1,0,0,100100,36
12.4243956,0.751947707,27.80161982,24.54235038,95.25844939,53.59742298,1,1,1,0,1,0,1,0,0,11010100,212
2.14989996,1.649743134,8.451438153,26.34118594,7.560552616,696.1275063,0,0,1,0,0,1,0,1,0,1001010,74
13.78432281,0.086354154,17.46305064,28.25575221,96.1585317,641.6969504,1,0,1,0,1,0,1,0,1,1010101,85
13.28523973,1.091335753,21.42276313,15.75002709,15.76335371,1158.427584,1,0,0,1,0,1,1,0,0,101100,44
8.727876337,1.230131663,32.67101945,20.09780102,27.2333735,781.8263587,1,1,0,0,0,1,1,0,0,10001100,140
13.1269811,1.93765307,24.12062756,8.748845599,58.31409907,908.2789281,0,1,0,0,0,1,1,0,0,10001100,140
8.369213995,0.830491146,1.325976829,16.22074746,56.61669287,406.6841384,0,0,0,0,0,1,1,0,0,1100,12
6.190714522,0.952012825,12.38319197,5.238139308,91.7014318,211.0494216,1,0,0,0,1,0,1,0,0,10100,20
1.866596784,1.447786465,3.391845467,1.910978839,71.27952875,222.5373414,0,0,0,0,0,0,0,1,0,10,2
1.314314246,1.007052328,12.59408491,27.68265161,33.85046482,660.9854503,1,0,1,0,0,1,0,1,0,1001010,74
6.02282862,1.787824479,7.151958722,11.57512539,74.02889565,1183.17093,1,0,0,1,0,0,1,0,0,100100,36
10.9935933,1.298262329,5.756913705,10.41485125,17.69131301,1467.57555,0,0,0,1,0,1,1,0,0,101100,44
6.763439386,1.491479958,25.19089637,32.1663529,60.21826177,1127.467361,1,1,1,1,0,0,1,0,0,11100100,228
1.986478236,1.897841011,20.15877788,17.37631497,31.63891923,495.547126,0,0,0,0,0,1,0,1,0,1010,10
13.27028641,1.872177873,9.832497284,1.855190173,28.47040252,576.5882409,1,0,0,0,0,1,1,0,0,1100,12
8.200531815,0.147792727,16.78905793,7.659786116,91.69179432,773.3767067,0,0,0,0,1,0,1,0,1,10101,21
3.165118308,1.065864676,14.27327163,34.03453423,67.58564788,1130.742866,0,0,1,1,0,0,0,1,0,1100010,98
4.838827532,1.015329814,12.69962908,25.52910617,97.57705179,812.3527511,0,0,1,0,1,0,0,1,0,1010010,82
6.901197785,0.384514825,21.28589341,32.68399051,35.16566812,162.3375564,0,0,1,0,0,1,1,0,1,1001101,77
9.886780226,0.01353204,0.417679583,31.47837516,34.38253134,572.0336025,0,0,1,0,0,1,1,0,1,1001101,77
13.66336151,0.241773908,15.86652514,4.74368097,5.186240715,1444.837779,0,0,0,1,0,1,1,0,1,101101,45
9.269033532,0.400788453,29.65463731,4.392165178,78.05556151,926.8706315,0,1,0,0,0,0,1,0,1,10000101,133
8.300843473,1.654336099,18.51422955,27.37673954,70.46007814,746.8355626,0,0,1,0,0,0,1,0,0,1000100,68
13.18164281,1.074033152,26.33869188,8.122843776,91.25327321,888.3931162,0,1,0,0,1,0,1,0,0,10010100,148
0.390551436,1.689831229,9.074377376,3.393302382,74.9753826,702.7740383,0,0,0,0,0,0,0,1,0,10,2
3.882706835,1.217536782,6.753811616,24.23539106,11.18022315,933.7918204,0,0,1,0,0,1,0,1,0,1001010,74
5.626075018,1.541620641,30.50475502,16.03852283,76.01737041,729.4656751,0,1,0,0,0,0,0,1,0,10000010,130
1.801195506,0.21588319,20.1629461,23.84001379,47.95630041,449.4774069,1,0,0,0,0,1,0,1,1,1011,11
4.633576574,1.05634243,24.27607892,17.97543831,14.15366065,301.9259482,1,1,0,0,0,1,0,1,0,10001010,138
8.904774145,1.340598252,23.03683469,22.70950764,91.43212305,137.965035,0,1,0,0,1,0,1,0,0,10010100,148
2.17159078,0.265403822,26.25876036,22.52688264,53.32753053,1064.947153,1,1,0,1,0,1,0,1,1,10101011,171
2.33861584,1.322617395,18.21969048,30.55098295,82.77258679,1178.341756,1,0,1,1,1,0,0,1,0,1110010,114
1.600267859,1.877209599,8.526774015,20.20999047,42.40020253,1430.652397,0,0,0,1,0,1,0,1,0,101010,42
1.59554961,1.405506496,30.92114873,24.25009643,86.18867312,339.0697435,1,1,1,0,1,0,0,1,0,11010010,210
13.72499389,1.671049347,10.64492358,31.02271818,51.89103671,802.8975218,1,0,1,0,0,1,1,0,0,1001100,76
0.233092429,0.434627608,18.92167165,17.06784476,8.984884966,359.9510834,1,0,0,0,0,1,0,1,1,1011,11
10.27107208,1.088122653,25.21457526,10.32024961,67.69909935,470.7273838,0,1,0,0,0,0,1,0,0,10000100,132
8.723004728,0.184489301,15.1079218,12.79245002,74.55335157,1453.989265,0,0,0,1,0,0,1,0,1,100101,37
6.073495419,1.67235479,34.01177043,31.3270526,39.22371645,1173.359594,0,1,1,1,0,1,1,0,0,11101100,236
6.16882711,0.952163049,10.30164477,23.94270916,87.26475564,532.7753643,0,0,0,0,1,0,1,0,0,10100,20
5.666178758,1.35112564,5.975713083,19.24804918,18.5026408,144.2747378,1,0,0,0,0,1,0,1,0,1010,10
1.627753147,1.333956172,13.53088244,3.187650498,85.56808933,783.8042744,0,0,0,0,1,0,0,1,0,10010,18
2.825535962,1.261869008,34.85449354,28.41380278,92.77237125,566.8346063,1,1,1,0,1,0,0,1,0,11010010,210
12.55761468,1.915676528,14.35194198,26.9649944,84.6688594,263.0027568,1,0,1,0,1,0,1,0,0,1010100,84
4.495477798,0.208544265,1.33827444,25.21583728,13.85365458,1273.65952,1,0,1,1,0,1,0,1,1,1101011,107
12.34626024,1.497318078,34.05575023,6.237736236,84.15341345,552.0622363,1,1,0,0,1,0,1,0,0,10010100,148
8.132219971,0.992581801,34.37989705,1.836501628,17.49232042,1463.036827,1,1,0,1,0,1,1,0,0,10101100,172
12.10946386,0.576709714,19.06995862,14.17273576,39.67922679,815.8831673,1,0,0,0,0,1,1,0,1,1101,13
2.380218197,1.097784513,4.779456619,31.1275204,70.66538057,1328.112684,0,0,1,1,0,0,0,1,0,1100010,98
13.66664622,1.893199392,8.721948445,31.83409047,27.10317194,1376.888749,1,0,1,1,0,1,1,0,0,1101100,108
7.250936503,0.928299457,9.653893629,27.75979791,66.7975383,636.2599751,0,0,1,0,0,0,1,0,0,1000100,68
13.00290283,1.241540045,32.02166268,29.04162154,98.80378908,550.4829938,0,1,1,0,1,0,1,0,0,11010100,212
6.861914379,1.674532007,16.94810738,27.20627987,62.61406318,947.9407674,0,0,1,0,0,0,1,0,0,1000100,68
3.690583795,0.881454019,26.65118596,7.498361624,87.54165197,499.5990845,1,1,0,0,1,0,0,1,0,10010010,146
13.30984605,0.434688928,31.50374688,34.39808672,72.99233379,1352.885483,1,1,1,1,0,0,1,0,1,11100101,229
6.739642452,0.615580594,26.2098165,34.84265545,53.25681335,1071.759587,1,1,1,1,0,1,1,0,0,11101100,236
10.43595228,0.961521511,14.96431035,31.87853273,33.09387053,1483.607642,1,0,1,1,0,1,1,0,0,1101100,108
0.145938819,0.857379395,14.57845114,34.94073072,10.4680436,297.0522376,1,0,1,0,0,1,0,1,0,1001010,74
2.938160192,1.645194634,15.44064312,34.3302385,74.70400962,1130.036824,0,0,1,1,0,0,0,1,0,1100010,98
1.110648676,0.541810645,14.97358957,12.79558198,11.44205549,246.7276412,0,0,0,0,0,1,0,1,1,1011,11
5.925833042,1.770335187,12.96273279,24.77389647,42.19976714,800.2512622,0,0,1,0,0,1,1,0,0,1001100,76
11.19889306,1.429633876,4.331360195,28.44170272,69.02045251,800.2573457,1,0,1,0,0,0,1,0,0,1000100,68
7.105985006,0.246431444,32.37399124,2.413150001,13.63282672,822.7077175,0,1,0,0,0,1,1,0,1,10001101,141
0.039886769,1.46816912,16.23847265,7.397995365,11.59173464,1160.901803,1,0,0,1,0,1,0,1,0,101010,42
5.546548986,1.126927212,7.072858899,12.27011999,23.08730198,1159.671137,0,0,0,1,0,1,0,1,0,101010,42
10.74387376,0.808670354,20.76385881,10.08909602,33.6787137,1289.677347,0,0,0,1,0,1,1,0,0,101100,44
11.45774814,1.276107743,30.99703982,34.95905957,95.74033272,515.116207,0,1,1,0,1,0,1,0,0,11010100,212
6.221668614,0.459988987,27.80120075,0.840721025,45.1784806,576.7772977,0,1,0,0,0,1,1,0,1,10001101,141
4.381949487,1.580246114,30.34940667,27.77931476,77.50916955,632.7420194,1,1,1,0,0,0,0,1,0,11000010,194
0.612459628,0.69474094,21.11569413,30.75226465,75.77567242,26.24568574,1,0,1,0,0,0,0,1,0,1000010,66
12.51579205,0.831030689,32.53545286,15.13273781,51.45685648,226.1244572,0,1,0,0,0,1,1,0,0,10001100,140
10.8009068,0.835156893,20.4184369,11.22779215,47.17400144,866.86326,1,0,0,0,0,1,1,0,0,1100,12
2.211108517,0.019410448,25.63562486,3.444293497,41.96350497,853.0988901,0,1,0,0,0,1,0,1,1,10001011,139
6.00786566,1.194916356,11.82366117,32.64399177,4.764445075,1327.595699,1,0,1,1,0,1,1,0,0,1101100,108
3.485854795,0.448776968,13.91076216,31.11097013,41.53209225,896.7753763,1,0,1,0,0,1,0,1,1,1001011,75
4.212080459,0.079256386,15.98267046,7.091105619,83.72905129,1118.025794,0,0,0,1,1,0,0,1,1,110011,51
3.917644551,1.830241255,10.43365847,23.0722362,75.44873241,246.7126713,1,0,0,0,0,0,0,1,0,10,2
5.271008502,0.036198025,15.46799847,31.07995267,32.4403475,299.9818499,1,0,1,0,0,1,0,1,1,1001011,75
3.437426874,0.37713072,1.298043774,9.151613618,11.59255881,1413.194072,1,0,0,1,0,1,0,1,1,101011,43
6.844657615,0.850385631,23.30840041,23.96844863,93.1620478,983.6061153,1,1,0,0,1,0,1,0,0,10010100,148
2.243041515,1.341422406,1.912108647,12.60307151,81.97678763,1333.780032,0,0,0,1,1,0,0,1,0,110010,50
4.340984207,0.410405952,27.97007798,27.7923194,14.91792326,152.1730321,0,1,1,0,0,1,0,1,1,11001011,203
2.968316598,0.407698906,26.47002552,10.79310061,63.9674731,669.9998884,1,1,0,0,0,0,0,1,1,10000011,131
2.809767834,1.496123227,32.99210071,18.72067882,97.245148,812.474941,1,1,0,0,1,0,0,1,0,10010010,146
2.196407431,0.11266726,20.95264764,2.144008229,99.24769927,723.4404251,0,0,0,0,1,0,0,1,1,10011,19
10.39373308,0.083079483,14.64054147,6.635008406,1.815792185,248.2192375,0,0,0,0,0,1,1,0,1,1101,13
8.871261304,0.711479008,23.85754132,24.33686847,64.21014284,1070.764792,0,1,1,1,0,0,1,0,0,11100100,228
3.866149034,0.395823752,14.69094123,9.694148905,23.78463185,1146.455313,1,0,0,1,0,1,0,1,1,101011,43
7.00191248,1.092176551,0.360213692,14.96828495,84.29425928,423.3907855,0,0,0,0,1,0,1,0,0,10100,20
2.20346645,0.37198709,31.62838475,27.67677886,30.79372799,654.1693228,0,1,1,0,0,1,0,1,1,11001011,203
13.08340685,0.619120678,15.66930235,32.28633573,87.38748854,937.3945125,1,0,1,0,1,0,1,0,0,1010100,84
12.25701052,0.497280484,27.46430199,6.479069789,97.9185507,1305.221108,1,1,0,1,1,0,1,0,1,10110101,181
11.6013638,0.951090939,8.50864945,17.89010683,61.30715864,665.764506,0,0,0,0,0,0,1,0,0,100,4
0.53755537,0.62019195,10.76786442,27.09344363,61.34427756,1328.832488,0,0,1,1,0,0,0,1,0,1100010,98
2.417236292,0.934049467,2.020146686,5.420300432,82.40661965,486.7810717,0,0,0,0,1,0,0,1,0,10010,18
13.02688234,1.630588203,28.58396159,33.86626211,63.9174406,923.5809129,0,1,1,0,0,0,1,0,0,11000100,196
1.971842647,1.114798347,32.08675515,19.42716017,32.36453915,441.3743713,1,1,0,0,0,1,0,1,0,10001010,138
11.03781372,1.76186006,26.07423559,4.771099886,89.39770855,7.039073386,1,1,0,0,1,0,1,0,0,10010100,148
5.726400748,1.706662573,0.496431163,8.664513329,12.3865079,14.93687909,0,0,0,0,0,1,0,1,0,1010,10
4.203151583,0.443345579,34.78786093,21.92105209,88.78209744,937.5797073,0,1,0,0,1,0,0,1,1,10010011,147
11.12406023,0.214492752,5.704377385,8.070885954,7.828483129,683.4323015,1,0,0,0,0,1,1,0,1,1101,13
7.893032882,1.016781431,23.49552625,11.68369803,92.79872525,376.6465237,1,1,0,0,1,0,1,0,0,10010100,148
3.222839584,1.77759484,24.37906603,8.318515321,68.62496227,1398.051665,0,1,0,1,0,0,0,1,0,10100010,162
7.394308309,1.766009298,22.06296789,22.04357977,82.86608232,1178.688743,1,1,0,1,1,0,1,0,0,10110100,180
7.601552386,0.945944145,11.06182384,18.40272982,3.735317153,150.052977,0,0,0,0,0,1,1,0,0,1100,12
5.127885938,1.084576019,13.73664112,0.908221855,49.09621477,1319.493514,0,0,0,1,0,1,0,1,0,101010,42
10.70730614,1.03343926,11.06345672,34.0799178,71.84558685,47.87681561,1,0,1,0,0,0,1,0,0,1000100,68
2.652726911,0.288919268,0.677330671,19.34309544,53.30946265,573.7194886,0,0,0,0,0,1,0,1,1,1011,11
8.560497903,1.521757389,13.00259445,16.92328219,59.6144261,17.69866367,1,0,0,0,0,1,1,0,0,1100,12
7.059577004,1.04660535,30.45732446,32.3246203,75.19501841,640.7562095,1,1,1,0,0,0,1,0,0,11000100,196
12.88831852,1.880532465,1.335826795,12.34308884,94.94811613,301.4503652,0,0,0,0,1,0,1,0,0,10100,20
12.04212962,0.780281232,14.94680564,28.72896298,60.95699511,631.7373268,0,0,1,0,0,0,1,0,0,1000100,68
7.605044876,1.044596566,10.3286011,11.37615192,91.19745884,868.7428658,1,0,0,0,1,0,1,0,0,10100,20
2.21205871,1.729450825,0.824245971,29.78249539,46.82775891,606.2346523,0,0,1,0,0,1,0,1,0,1001010,74
13.31700806,0.123197452,1.084041953,15.3939244,48.41632162,16.94157598,1,0,0,0,0,1,1,0,1,1101,13
9.72768591,0.731468314,7.632094054,12.3436434,31.30815818,589.7290861,1,0,0,0,0,1,1,0,0,1100,12
5.276804265,0.050269117,10.79181983,24.60289714,46.80552022,1328.981513,1,0,1,1,0,1,0,1,1,1101011,107
5.186089474,0.113562539,2.014424629,4.346201725,74.55334146,853.5363785,0,0,0,0,0,0,0,1,1,11,3
4.846767189,0.566264583,21.87441941,15.55317496,13.96788089,86.14308316,1,0,0,0,0,1,0,1,1,1011,11
3.139310268,0.862567168,7.610439901,26.31495488,55.19079158,552.0099134,1,0,1,0,0,1,0,1,0,1001010,74
0.972590374,1.02343944,29.27397677,27.29519616,89.45871531,1045.574998,1,1,1,1,1,0,0,1,0,11110010,242
6.475712705,1.194331637,22.54095632,9.478419787,86.26785498,961.5123422,0,1,0,0,1,0,1,0,0,10010100,148
4.076097112,1.791113847,31.23502255,0.441458181,44.16854174,407.9180748,0,1,0,0,0,1,0,1,0,10001010,138
2.183003189,0.133284422,31.00666196,26.29289445,5.116296552,303.0512755,0,1,1,0,0,1,0,1,1,11001011,203
7.800345288,1.040308242,23.45792279,32.47745769,37.09321338,1478.860429,1,1,1,1,0,1,1,0,0,11101100,236
6.840333679,1.138909057,18.25479794,21.73312232,32.21691671,111.6627184,1,0,0,0,0,1,1,0,0,1100,12
0.611006628,1.779830628,33.69366739,21.64707628,49.05626742,655.8927299,1,1,0,0,0,1,0,1,0,10001010,138
13.31493154,0.916856106,7.211126719,29.30852677,12.57728772,578.308385,0,0,1,0,0,1,1,0,0,1001100,76
10.44460331,0.125595335,22.0627343,9.082610552,4.978360267,949.418127,0,1,0,0,0,1,1,0,1,10001101,141
11.29134223,1.87058751,11.18135249,14.59030739,91.8479065,1413.252204,1,0,0,1,1,0,1,0,0,110100,52
12.39715176,1.789600918,9.358344518,9.768629035,90.99573756,625.0129252,0,0,0,0,1,0,1,0,0,10100,20
8.032375256,1.764264772,3.617617732,8.76102987,69.30330401,476.8761166,1,0,0,0,0,0,1,0,0,100,4
10.20491191,1.555409796,28.25138311,22.10556328,51.04398323,730.9081525,1,1,0,0,0,1,1,0,0,10001100,140
12.15285668,0.926647702,9.255494603,6.925934669,45.61325789,1486.610176,1,0,0,1,0,1,1,0,0,101100,44
1.556253381,0.643919966,9.294251889,10.75880513,43.84399346,122.162981,0,0,0,0,0,1,0,1,0,1010,10
7.660261228,0.555371339,26.48613312,27.46035026,16.297992,1157.008488,1,1,1,1,0,1,1,0,1,11101101,237
1.275798352,0.523913165,34.35006948,19.30458747,17.95381066,339.6636076,1,1,0,0,0,1,0,1,1,10001011,139
3.824266903,1.277945435,34.92090785,31.27687853,53.78005939,956.0586096,0,1,1,0,0,1,0,1,0,11001010,202
12.64778056,0.611915122,27.63601388,7.936966332,0.632306736,210.8178446,0,1,0,0,0,1,1,0,0,10001100,140
1.230281057,0.404786585,32.92281565,18.64580697,81.94356008,1237.724626,1,1,0,1,1,0,0,1,1,10110011,179
2.485155767,1.703752304,34.74674446,11.06530659,97.32977454,195.9011521,1,1,0,0,1,0,0,1,0,10010010,146
1.973879853,1.792572045,17.88845113,0.350553384,50.09199528,549.1693279,0,0,0,0,0,1,0,1,0,1010,10
3.381771138,1.336525168,10.83571509,30.19437642,72.709166,992.8191627,0,0,1,0,0,0,0,1,0,1000010,66
1.541890041,1.00224259,3.150272924,25.67566556,51.87054116,456.5598,0,0,1,0,0,1,0,1,0,1001010,74
10.30981183,1.977223333,10.28565136,18.02248313,91.64343469,1359.356781,1,0,0,1,1,0,1,0,0,110100,52
4.982461319,0.129623657,2.191502484,26.61603005,85.87915627,347.3898653,1,0,1,0,1,0,0,1,1,1010011,83
12.93527211,0.077698156,22.86617607,32.10443173,44.25758646,4.220921331,0,1,1,0,0,1,1,0,1,11001101,205
12.9206917,1.111509629,8.912130796,5.083323594,44.61752049,183.0584345,0,0,0,0,0,1,1,0,0,1100,12
4.484902709,0.951469982,26.61292974,27.03809294,90.21290667,356.9609503,0,1,1,0,1,0,0,1,0,11010010,210
5.106704299,1.428476377,9.196009886,2.440408088,68.38293262,1210.564468,1,0,0,1,0,0,0,1,0,100010,34
2.849557096,0.129743312,18.31770905,31.16428332,71.25407194,1393.128158,0,0,1,1,0,0,0,1,1,1100011,99
6.269727632,0.443435188,16.89314341,28.77551131,26.49425227,1273.08175,1,0,1,1,0,1,1,0,1,1101101,109
0.993574685,1.850810709,15.14451772,28.34215685,55.69385598,1446.685653,1,0,1,1,0,1,0,1,0,1101010,106
9.20621183,1.4269527,16.14110633,2.60971644,32.17585829,992.7352467,1,0,0,0,0,1,1,0,0,1100,12
12.48070392,0.171292918,20.45571216,16.91371819,9.832533371,466.4603033,0,0,0,0,0,1,1,0,1,1101,13
13.52780301,1.836907669,6.101002611,3.771419,7.19427267,1076.155106,1,0,0,1,0,1,1,0,0,101100,44
9.13206359,0.305702201,27.46589328,16.18849208,78.4234916,559.5560223,0,1,0,0,0,0,1,0,1,10000101,133
2.877543726,0.237183838,14.09650224,6.533623525,32.56810622,131.9408867,0,0,0,0,0,1,0,1,1,1011,11
5.127937525,1.148386881,28.34490992,16.70982484,45.04346398,535.7469796,0,1,0,0,0,1,0,1,0,10001010,138
7.730339747,1.547454543,21.01618863,9.266456101,83.24608571,1264.314046,0,0,0,1,1,0,1,0,0,110100,52
7.954753079,1.169013607,9.649594595,23.56102014,69.52102958,1152.742011,1,0,0,1,0,0,1,0,0,100100,36
8.713384366,0.959752845,26.83803627,32.05589402,87.22708098,355.6124826,0,1,1,0,1,0,1,0,0,11010100,212
7.931722184,0.114012587,4.289236503,32.75245023,45.98869438,1039.333788,1,0,1,1,0,1,1,0,1,1101101,109
1.336292925,0.03111686,1.478860564,13.43170122,57.99654351,539.693736,0,0,0,0,0,1,0,1,1,1011,11
11.25874622,0.374012202,2.851660056,6.846362469,72.95717593,95.61543121,1,0,0,0,0,0,1,0,1,101,5
10.60861898,1.579286109,14.78191149,29.80068335,14.13127562,1146.543309,0,0,1,1,0,1,1,0,0,1101100,108
9.984160139,0.632437678,11.41590326,6.230492676,13.09574017,1105.226478,1,0,0,1,0,1,1,0,0,101100,44
3.641639955,0.789604257,27.52043732,25.42040174,11.50476824,670.7681986,0,1,1,0,0,1,0,1,0,11001010,202
3.27231721,1.346814511,18.69495704,22.25608367,87.97954396,1367.028312,1,0,0,1,1,0,0,1,0,110010,50
2.807457509,0.287233303,32.36417082,18.42314373,5.483961628,188.5173159,1,1,0,0,0,1,0,1,1,10001011,139
4.720161594,1.513318265,2.373140516,25.2924465,30.90257531,233.4873798,1,0,1,0,0,1,0,1,0,1001010,74
3.18100647,1.743697273,23.26517824,14.34194185,39.73089285,972.003829,1,1,0,0,0,1,0,1,0,10001010,138
13.89501911,0.105238778,26.96394145,4.917806129,32.12682053,384.3996714,0,1,0,0,0,1,1,0,1,10001101,141
6.725269842,1.202556075,1.554519902,25.96135884,83.68648361,853.2582492,0,0,1,0,1,0,1,0,0,1010100,84
2.211851794,0.076862821,5.295650902,20.3638797,81.31554272,200.6125692,1,0,0,0,1,0,0,1,1,10011,19
7.18451796,0.296311763,20.52234387,21.19088939,32.15290873,984.5575164,0,0,0,0,0,1,1,0,1,1101,13
6.35211649,1.823428614,15.51884236,22.04529367,30.37522775,1330.702067,1,0,0,1,0,1,1,0,0,101100,44
9.431414693,1.023531719,16.28860582,30.08729601,68.23903504,1029.536627,1,0,1,1,0,0,1,0,0,1100100,100
13.45476192,1.266077491,15.30142334,24.89490555,83.4042173,83.62986459,0,0,1,0,1,0,1,0,0,1010100,84
9.471536458,1.421087537,19.63608675,3.661241999,19.04745136,1000.734535,0,0,0,1,0,1,1,0,0,101100,44
7.822332094,1.589857743,10.37380084,31.14967681,83.22029165,573.2335904,0,0,1,0,1,0,1,0,0,1010100,84
9.004353729,1.186843821,15.0377829,7.663726542,64.23743001,400.181524,1,0,0,0,0,0,1,0,0,100,4
6.536718945,0.490200472,32.88416852,14.25848115,72.12171036,158.532048,1,1,0,0,0,0,1,0,1,10000101,133
4.262665635,0.139619827,8.448270999,31.76401779,42.03151097,951.021256,1,0,1,0,0,1,0,1,1,1001011,75
1.233287868,1.665391203,9.556772403,18.53970514,36.31906891,1360.259249,1,0,0,1,0,1,0,1,0,101010,42
7.012665048,0.29335638,27.05657014,15.46197373,95.15770551,276.0009078,1,1,0,0,1,0,1,0,1,10010101,149
11.55106546,1.049619229,25.0415974,22.2244716,39.38724913,592.0569954,1,1,0,0,0,1,1,0,0,10001100,140
5.743253509,0.902576237,0.369686669,32.35666312,58.29685853,153.9830139,1,0,1,0,0,1,0,1,0,1001010,74
9.471149925,1.657198319,4.84034471,32.22172776,52.53657613,1243.631133,1,0,1,1,0,1,1,0,0,1101100,108
8.904516527,1.794992028,15.31251722,26.38690633,96.29784363,501.2356911,0,0,1,0,1,0,1,0,0,1010100,84
9.34048245,0.660498088,12.30405199,29.48386704,66.95800551,1045.621491,0,0,1,1,0,0,1,0,0,1100100,100
9.835487198,1.9734756,30.50947522,22.19015824,35.31098041,638.1283271,1,1,0,0,0,1,1,0,0,10001100,140
9.632366721,0.538390505,10.14971451,20.56245265,35.01841242,359.0664675,0,0,0,0,0,1,1,0,1,1101,13
10.00936172,0.981366,23.43592357,11.7453568,32.95250761,482.4258531,0,1,0,0,0,1,1,0,0,10001100,140
